,Names,Price,Ratings,Image,Links
0,Royal Enfield Hunter 350,"₹ 1,49,900",4.7/5,https://imgd.aeplcdn.com/227x128/n/cw/ec/124013/hunter-350-right-side-view-5.png?isig=0&q=80,https://www.bikewale.com/royalenfield-bikes/hunter-350/
1,Royal Enfield Classic 350,"₹ 1,93,080",4.6/5,https://imgd.aeplcdn.com/227x128/n/cw/ec/101487/classic-350-right-side-view-20.png?isig=0&q=80,https://www.bikewale.com/royalenfield-bikes/classic-350/
2,Royal Enfield Continental GT 650,"₹ 3,18,418",4.8/5,https://imgd.aeplcdn.com/227x128/n/cw/ec/49656/continental-gt-right-side-view-12.png?isig=0&q=80,https://www.bikewale.com/royalenfield-bikes/continental-gt/
3,Royal Enfield Bullet 350,"₹ 1,73,562",4.6/5,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg,https://www.bikewale.com/royalenfield-bikes/bullet/
4,Royal Enfield Himalayan 450,"₹ 2,85,000",4.8/5,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg,https://www.bikewale.com/royalenfield-bikes/himalayan/
5,Royal Enfield Meteor 350,"₹ 2,05,528",4.6/5,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg,https://www.bikewale.com/royalenfield-bikes/meteor-350/
6,Royal Enfield Interceptor 650,"₹ 3,02,418",4.6/5,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg,https://www.bikewale.com/royalenfield-bikes/interceptor/
7,Royal Enfield Super Meteor 650,"₹ 3,63,900",4.8/5,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg,https://www.bikewale.com/royalenfield-bikes/super-meteor-650/
8,Royal Enfield Shotgun 650,"₹ 3,59,430",4.7/5,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg,https://www.bikewale.com/royalenfield-bikes/shotgun-650/
9,Royal Enfield Scram 411,"₹ 2,06,234",4.6/5,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg,https://www.bikewale.com/royalenfield-bikes/scram-411/
